review_id,customer_message,reviewed_intent,predicted_intent
37,It’s quite possible that @116136 is the worst customer service I’ve ever experienced. It definitely is up there in the top five. Were it not for being limited by providers I would cancel the account today. #garbage,GENERAL_INQUIRY,SERVICE_AVAILABILITY
45,@comcastcares Please call me. I pay $4k a year services and I cant map my accounts to each service address. I am not sitting on the phone with you anymore,ACCOUNT_ISSUE,CANCELLATION
47,@comcastcares I don't see how you can help. The menu for season 5 has the season 4 finale listed instead of the first episode of season 5. How could it possibly be an issue with the account and not the service?,TECHNICAL_ISSUE,ACCOUNT_ISSUE
56,"Um, @115900, I just received this text from you &amp; A: I don’t have an account and B: link doesn’t look legit. Didn’t see a way to report this on your website. #scamalert https://t.co/BsdDuXZWjh",ACCOUNT_ISSUE,TECHNICAL_ISSUE
73,@116136 I pay for HBO. HBO isn't working cause you are updating my account. https://t.co/PYeV1sRDRW,TECHNICAL_ISSUE,ACCOUNT_ISSUE
90,@comcastcares … how do you SIGN OUT of online mail? The Sign Out button is no longer working … it’s Sign In. I can’t find SIGN OUT anymore,ACCOUNT_ISSUE,INTERNET_OUTAGE
93,@Comcastcares I need to cancel the online tv service that was added to my account. Can you hellp?,CANCELLATION,ACCOUNT_ISSUE
99,"@comcastcares Yes, thank you. Yet those networks require me to log in with Comcast/Xfinity or I can't watch via their app.  Contracts or not, I don't get why the ageeement is not reciprocal.",ACCOUNT_ISSUE,SERVICE_AVAILABILITY
136,"@ComcastCares
#mobile_Care
I have current service at my residence and want to add internet to my apartment. Can I or is it new account?",ACCOUNT_ISSUE,CANCELLATION
147,@comcastcares The phone number on the account?,ACCOUNT_ISSUE,CANCELLATION
165,"@115900 is such a joke.  After major issues this week with an unauthorized change to my account, now HBO is gone and no one is available for me to speak to. @comcastcares",ACCOUNT_ISSUE,TECHNICAL_ISSUE
185,@comcastcares I’ve sent you a dm my issue isn’t with my account... it’s the lack of service Comcast providers and the consisntant lying that seems to be thrown around through your company there are major issues with locations all over the states and I know too many people whom are being abused,SERVICE_AVAILABILITY,TECHNICAL_ISSUE
198,"@116136 HQ, VP Customer Relations said  they cannot call me back - a customer- as I am overseas, but they do call Panama to check their overseas offshore accounts",ACCOUNT_ISSUE,TECHNICAL_ISSUE
39,@comcastcares Does Comcast make it a habit to lie to customers regarding billing? The numbers don’t add up. https://t.co/n2zfvzBE6b,BILLING_ISSUE,TECHNICAL_ISSUE
42,@comcastcares Fuck you im suing pussies and will slander you too everyone you charged me a late fee when I was never late fuck you die slow,BILLING_ISSUE,SLOW_INTERNET
49,Hey @comcastcares the next time you want to send someone out to disconnect my service you should probably send a bill first 🤷🏾‍♀️,BILLING_ISSUE,CANCELLATION
85,@VerizonSupport Well thanks. I’m almost there. If it’s not fixed this week I’ll be switching once I get a good price comparison. And to think I have been a @116136 customer for over 6 years. Well maybe @115722 has better customer service.,GENERAL_INQUIRY,INTERNET_OUTAGE
88,@116136 my internet service has been bad all day... my bill too high for bad service. I got things to do. 😩,BILLING_ISSUE,INTERNET_OUTAGE
97,How is it that @369177 can charge $192 for the same service @115900 charges $256?,BILLING_ISSUE,TECHNICAL_ISSUE
101,@comcastcares You charge an arm and a leg for pretty much basic cable,BILLING_ISSUE,INTERNET_OUTAGE
135,"@comcastcares So, we have a contract which locks in proces, but yet, you increase prices? $9 for local broadcast is OUTRAGEOUS!

@136958",BILLING_ISSUE,INTERNET_OUTAGE
145,@115900 if you charge a premium price for on-demand then that means we pay to watch those shows. You’re making your money from us. So explain to me why I can fast forward through the show but you force me to sit through commercials? #ondemandisnot #ondemandisBS,BILLING_ISSUE,SLOW_INTERNET
153,@comcastcares I signed up for a complete package that doesn't let me change my package for 2 years and I feel like no one cares about the service,PLAN_CHANGE,TECHNICAL_ISSUE
157,@comcastcares I’m sorry do you not read what I write I don’t want to hear the same clichés all the time I need action contact is Queenie woman she’s in charge of the southeast I believe,GENERAL_INQUIRY,TECHNICAL_ISSUE
195,I asked @116136 to cancel the TV channels I don't even use &amp; they told me my bill would go up by about $20 from what I pay now #WTFever,PLAN_CHANGE,BILLING_ISSUE
4,That moment you get off the phone with @115900 and your blood is boiling. No wonder people cancel their cable.,GENERAL_INQUIRY,TECHNICAL_ISSUE
19,"@comcastcares 
Unfortunately, You can't do much about that. I tried through the phone and service center. The results is canceling my accou.",CANCELLATION,BILLING_ISSUE
41,Me: Fine. I won’t cancel. @comcastcares I’m sorry. We don’t service your address. 😂😂😂,SERVICE_AVAILABILITY,CANCELLATION
76,"Help @comcastcares When we signed up for service we were told there were no early cancellation fees if we moved, now they're saying we owe $600.",CANCELLATION,INTERNET_OUTAGE
96,"@115900 Why do people keep calling me after I cancelled my service? Third call in a week now. I moved and switched service, please stop calling.",CANCELLATION,TECHNICAL_ISSUE
100,@comcastcares Someone better be reaching out to me or I am cancelling services. I have spent over 3 hours on the phone and have been repeatedly lied to,CANCELLATION,ACCOUNT_ISSUE
132,"Hey @116136 @comcastcares can y'all come to Phoenix? I'd immediately cancel with my other providers, I miss you!",SERVICE_AVAILABILITY,TECHNICAL_ISSUE
134,@comcastcares Trash. Cancelled.,CANCELLATION,TECHNICAL_ISSUE
138,Hey @116136 are you guys fucking with my internet cuz i cancelled by cable? I've never had this many problems before this week,TECHNICAL_ISSUE,INTERNET_OUTAGE
183,"@comcastcares Yup, absolutely. I'm still waiting on someone to get in touch about changing / canceling my service. Can you help?",CANCELLATION,BILLING_ISSUE
8,More than just #facebookdown. What is going on with my internet connection? #comcast,INTERNET_OUTAGE,TECHNICAL_ISSUE
