customer_message,expected_escalation,predicted_escalation,intent,confidence,reasons
"@ComcastCares
#mobile_Care the WiFi in house has dropped out",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
"@115900 upgrade to the new faster service... as our service doesn't even work. #xfinitysucks

@ATT you guys up and running right now?",AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
Officially about to take time and #cutthecord from @116136 and move over to @115946. My bill hit $255. Hell to the nawl.,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
That moment you get off the phone with @115900 and your blood is boiling. No wonder people cancel their cable.,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"@ComcastCares
#mobile_Care i was trying to set up a payment arrangement",ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.65,
If @191352 moves to channels I don't get on @115900 I might cancel my cable. It's already stupid they don't have @191353 on my plan.  #UFC216,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
"@ComcastCares: #mobile_Care
How do I cancel my service with y'all ?",AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.95,
More than just #facebookdown. What is going on with my internet connection? #comcast,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
@comcastcares I need to get my bill lowered. How can I do that?,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@comcastcares Can't be fixed unless I pay EVEN MORE for shit service.,ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.95,
@116136 always some problem with your apps yet you always want your customers to pay your ridic bills!  So annoying #corpgreed https://t.co/bVQ4HZ1q30,ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.95,
"@ComcastCares
#mobile_Care My bill is in Spanish. I need to be in Englis. How do I fix that?",AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@115900 y'all needa do something bout dis damn wifi man,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
@comcastcares i need to change my modem to a new one that I bought ..help,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
@126440 @comcastcares The techs don't know a damn thing about what plans are available. We had one out a few days ago who wasn't even aware you could pay for unlimited data. Comcast is such trash.,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
"JFC, every other day with @115900 broadband and having to reboot our router. https://t.co/fnsW8LT6EZ",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
@comcastcares ARe there issues with Comcast email.  Ever since the upgrade it is running like garbage,AUTO_HANDLE,ESCALATE,PLAN_CHANGE,0.65,Customer appears highly frustrated
@comcastcares bill recently doubled and speed was cut in half? How can you help?,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
"@comcastcares 
Unfortunately, You can't do much about that. I tried through the phone and service center. The results is canceling my accou.",AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"Last night we had so much trouble with our internet, SO SLOW, we decided  done w/ @116136 and will switch to FIOS.",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
Shoutout to @115900 for having some of the worst internet service and plan policies ever.,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
@115900 why do I get connection issues at least once a day through you guys? It’s terrible. Pay your employees to come and look and waste $,ESCALATE,ESCALATE,PAYMENT_ISSUE,0.95,Customer appears highly frustrated
